@id,lon,lat,dict,access,barrier,artwork_type,material,name,tourism,amenity,name:en,website,historic,alt_name,artist:wikidata,artist_name,inscription,start_date,subject,subject:wikidata,operator,shop,information,map_size,natural,waterway,name:ru,emergency,fee,wheelchair,cuisine,healthcare,memorial,memorial:subject,subject:wikipedia,bicycle_parking,covered,leisure,capacity
node/1269595927,30.2687396,59.9784655,"{'artwork_type': 'sculpture', 'material': 'wood', 'name': 'Старик', 'tourism': 'artwork'}",,,sculpture,wood,Старик,artwork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/2181181342,30.2685571,59.9803497,"{'name': 'Музей художественного стекла', 'tourism': 'museum', 'name:en': 'Museum of Art Glass', 'website': 'https://elaginpark.org/glass'}",,,,,Музей художественного стекла,museum,,Museum of Art Glass,https://elaginpark.org/glass,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/3702115489,30.2700127,59.9793024,"{'name': 'Елагин дворец', 'tourism': 'museum'}",,,,,Елагин дворец,museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/3761709952,30.269513,59.9792746,"{'artwork_type': 'statue', 'name': 'Лев', 'tourism': 'artwork', 'historic': 'yes'}",,,statue,,Лев,artwork,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,
node/3761709953,30.2695203,59.9793856,"{'artwork_type': 'statue', 'name': 'Лев', 'tourism': 'artwork', 'historic': 'yes'}",,,statue,,Лев,artwork,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,
node/3761709956,30.2699794,59.977516,"{'name': 'Летнее кафе', 'amenity': 'cafe'}",,,,,Летнее кафе,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/4353687690,30.2681823,59.979777,"{'artwork_type': 'statue', 'name': 'Латона', 'tourism': 'artwork', 'alt_name': 'Лето', 'artist:wikidata': 'Q4362917', 'artist_name': 'Степан Степанович Пименов', 'inscription': 'По античной мифологии Латона — титанида, дочь Кея и Фебы, возлюбленная Зевса, мать Аполлона и Артемиды', 'start_date': 1822.0, 'subject': 'Лето', 'subject:wikidata': 'Q103107'}",,,statue,,Латона,artwork,,,,,Лето,Q4362917,Степан Степанович Пименов,"По античной мифологии Латона — титанида, дочь Кея и Фебы, возлюбленная Зевса, мать Аполлона и Артемиды",1822.0,Лето,Q103107,,,,,,,,,,,,,,,,,,,
node/4353748289,30.2693093,59.9803208,"{'name': 'Магазин художественного стекла', 'operator': 'СПб ГБУК ""ЦПКиО им. С.М. Кирова""', 'shop': 'gift'}",,,,,Магазин художественного стекла,,,,,,,,,,,,,"СПб ГБУК ""ЦПКиО им. С.М. Кирова""",gift,,,,,,,,,,,,,,,,,
node/6742144166,30.2698942,59.9774678,"{'tourism': 'information', 'information': 'map', 'map_size': 'site'}",,,,,,information,,,,,,,,,,,,,,map,site,,,,,,,,,,,,,,,
node/6750344125,30.271168,59.9795794,{'natural': 'tree'},,,,,,,,,,,,,,,,,,,,,,tree,,,,,,,,,,,,,,
node/6750356721,30.2708804,59.9797316,{'natural': 'tree'},,,,,,,,,,,,,,,,,,,,,,tree,,,,,,,,,,,,,,
node/6905536550,30.2690104,59.9799538,"{'artwork_type': 'statue', 'name': 'Весталка', 'tourism': 'artwork', 'artist:wikidata': 'Q4362917', 'artist_name': 'Степан Степанович Пименов', 'inscription': 'В Древнем Риме служительница храма богини Весты', 'start_date': 1822.0}",,,statue,,Весталка,artwork,,,,,,Q4362917,Степан Степанович Пименов,В Древнем Риме служительница храма богини Весты,1822.0,,,,,,,,,,,,,,,,,,,,,
node/6905536551,30.2689822,59.9798961,"{'artwork_type': 'statue', 'name': 'Юнона', 'tourism': 'artwork', 'alt_name': 'Гера', 'artist:wikidata': 'Q4362917', 'artist_name': 'Степан Степанович Пименов', 'inscription': 'По античной мифологии Юнона — богиня молний, бури, туч, урожая, сестра и жена повелителя вселенной Зевса (Юпитера)', 'start_date': 1822.0, 'subject': 'Юнона', 'subject:wikidata': 'Q125046'}",,,statue,,Юнона,artwork,,,,,Гера,Q4362917,Степан Степанович Пименов,"По античной мифологии Юнона — богиня молний, бури, туч, урожая, сестра и жена повелителя вселенной Зевса (Юпитера)",1822.0,Юнона,Q125046,,,,,,,,,,,,,,,,,,,
node/6905536552,30.2689339,59.9798411,"{'artwork_type': 'statue', 'name': 'Вакх', 'tourism': 'artwork', 'artist:wikidata': 'Q4362917', 'artist_name': 'Степан Степанович Пименов', 'inscription': 'По античной мифологии бог растительности, покровитель виноградарства и виноделия, сын Зевса и Семелы', 'start_date': 1822.0, 'subject': 'Дионис', 'subject:wikidata': 'Q41680'}",,,statue,,Вакх,artwork,,,,,,Q4362917,Степан Степанович Пименов,"По античной мифологии бог растительности, покровитель виноградарства и виноделия, сын Зевса и Семелы",1822.0,Дионис,Q41680,,,,,,,,,,,,,,,,,,,
node/6905536553,30.2688602,59.9797975,"{'artwork_type': 'statue', 'name': 'Флора', 'tourism': 'artwork', 'artist:wikidata': 'Q4362917', 'artist_name': 'Степан Степанович Пименов', 'inscription': 'По античной мифологии Флора — богиня весны, цветов, юности', 'start_date': 1822.0, 'subject': 'Флора', 'subject:wikidata': 'Q209644'}",,,statue,,Флора,artwork,,,,,,Q4362917,Степан Степанович Пименов,"По античной мифологии Флора — богиня весны, цветов, юности",1822.0,Флора,Q209644,,,,,,,,,,,,,,,,,,,
node/6905536554,30.2687569,59.9797579,"{'artwork_type': 'statue', 'name': 'Мелеагр', 'tourism': 'artwork', 'artist:wikidata': 'Q4362917', 'artist_name': 'Степан Степанович Пименов', 'inscription': 'По античной мифологии Мелеагр — герой, победитель свирепого Вепря, участник похода аргонавтов и калидонской охоты', 'start_date': 1822.0, 'subject': 'Мелеагр', 'subject:wikidata': 'Q321541'}",,,statue,,Мелеагр,artwork,,,,,,Q4362917,Степан Степанович Пименов,"По античной мифологии Мелеагр — герой, победитель свирепого Вепря, участник похода аргонавтов и калидонской охоты",1822.0,Мелеагр,Q321541,,,,,,,,,,,,,,,,,,,
node/6905536555,30.2686691,59.9797119,"{'artwork_type': 'statue', 'name': 'Афина', 'tourism': 'artwork', 'artist:wikidata': 'Q4362917', 'artist_name': 'Степан Степанович Пименов', 'inscription': 'По античной мифологии Афина — богиня неба, плодородия, мудрости, покровительница наук, туч и молний, дочь Зевса', 'start_date': 1822.0, 'subject': 'Афина', 'subject:wikidata': 'Q37122'}",,,statue,,Афина,artwork,,,,,,Q4362917,Степан Степанович Пименов,"По античной мифологии Афина — богиня неба, плодородия, мудрости, покровительница наук, туч и молний, дочь Зевса",1822.0,Афина,Q37122,,,,,,,,,,,,,,,,,,,
node/6905536556,30.2685993,59.9797089,"{'artwork_type': 'statue', 'name': 'Психея', 'tourism': 'artwork', 'artist:wikidata': 'Q4362917', 'artist_name': 'Степан Степанович Пименов', 'inscription': 'По античной мифологии Психея — олицетворение человеческой души, супруга Эрота (Амура)', 'start_date': 1822.0, 'subject': 'Психея', 'subject:wikidata': 'Q843382'}",,,statue,,Психея,artwork,,,,,,Q4362917,Степан Степанович Пименов,"По античной мифологии Психея — олицетворение человеческой души, супруга Эрота (Амура)",1822.0,Психея,Q843382,,,,,,,,,,,,,,,,,,,
node/6905536557,30.2684873,59.9797042,"{'artwork_type': 'statue', 'name': 'Церера', 'tourism': 'artwork', 'alt_name': 'Деметра', 'artist:wikidata': 'Q4362917', 'artist_name': 'Степан Степанович Пименов', 'inscription': 'По античной мифологии Церера — богиня плодородия и земледелия, дочь Крона и Реи, сестра Зевса, мать Персефоны', 'start_date': 1822.0, 'subject': 'Церера', 'subject:wikidata': 'Q32102'}",,,statue,,Церера,artwork,,,,,Деметра,Q4362917,Степан Степанович Пименов,"По античной мифологии Церера — богиня плодородия и земледелия, дочь Крона и Реи, сестра Зевса, мать Персефоны",1822.0,Церера,Q32102,,,,,,,,,,,,,,,,,,,
node/6905536558,30.2684216,59.9797015,"{'artwork_type': 'statue', 'name': 'Жрица', 'tourism': 'artwork', 'artist:wikidata': 'Q4362917', 'artist_name': 'Степан Степанович Пименов', 'inscription': 'В античности — служительница какого-либо женского божества, посредница между человеком и богиней', 'start_date': 1822.0}",,,statue,,Жрица,artwork,,,,,,Q4362917,Степан Степанович Пименов,"В античности — служительница какого-либо женского божества, посредница между человеком и богиней",1822.0,,,,,,,,,,,,,,,,,,,,,
node/6905536559,30.2682956,59.9797445,"{'artwork_type': 'statue', 'name': 'Адонис', 'tourism': 'artwork', 'artist:wikidata': 'Q4362917', 'artist_name': 'Степан Степанович Пименов', 'inscription': 'По античной мифологии Адонис — бог умирающей и воскрешающей природы, сын красавицы Смирны, сам отличался редчайшей красотой', 'start_date': 1822.0, 'subject': 'Адонис', 'subject:wikidata': 'Q163920'}",,,statue,,Адонис,artwork,,,,,,Q4362917,Степан Степанович Пименов,"По античной мифологии Адонис — бог умирающей и воскрешающей природы, сын красавицы Смирны, сам отличался редчайшей красотой",1822.0,Адонис,Q163920,,,,,,,,,,,,,,,,,,,
node/6905536560,30.2681011,59.9798196,"{'artwork_type': 'statue', 'name': 'Меркурий', 'tourism': 'artwork', 'artist:wikidata': 'Q4362917', 'artist_name': 'Степан Степанович Пименов', 'inscription': 'По античной мифологии Меркурий — бог, покровитель торговли', 'start_date': 1822.0, 'subject': 'Меркурий', 'subject:wikidata': 'Q1150'}",,,statue,,Меркурий,artwork,,,,,,Q4362917,Степан Степанович Пименов,"По античной мифологии Меркурий — бог, покровитель торговли",1822.0,Меркурий,Q1150,,,,,,,,,,,,,,,,,,,
node/6905536561,30.2680421,59.9798652,"{'artwork_type': 'statue', 'name': 'Артемида', 'tourism': 'artwork', 'artist:wikidata': 'Q4362917', 'artist_name': 'Степан Степанович Пименов', 'inscription': 'По античной мифологии Артемида — богиня деревьев, покровительница диких зверей и охоты, дочь Зевса и сестра Аполлона', 'start_date': 1822.0, 'subject': 'Артемида', 'subject:wikidata': 'Q39503'}",,,statue,,Артемида,artwork,,,,,,Q4362917,Степан Степанович Пименов,"По античной мифологии Артемида — богиня деревьев, покровительница диких зверей и охоты, дочь Зевса и сестра Аполлона",1822.0,Артемида,Q39503,,,,,,,,,,,,,,,,,,,
node/6905536562,30.2680072,59.9799196,"{'artwork_type': 'statue', 'name': 'Аполлон', 'tourism': 'artwork', 'artist:wikidata': 'Q4362917', 'artist_name': 'Степан Степанович Пименов', 'inscription': 'По античной мифологии Аполлон — бог солнца, искусств, покровитель путников и мореходов, сын Зевса и Латоны', 'start_date': 1822.0, 'subject': 'Аполлон', 'subject:wikidata': 'Q37340'}",,,statue,,Аполлон,artwork,,,,,,Q4362917,Степан Степанович Пименов,"По античной мифологии Аполлон — бог солнца, искусств, покровитель путников и мореходов, сын Зевса и Латоны",1822.0,Аполлон,Q37340,,,,,,,,,,,,,,,,,,,
node/9682710288,30.2686467,59.9771884,{'amenity': 'place_of_worship'},,,,,,,place_of_worship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/300951745,30.2364109,59.9802547,"{'name': 'Западная стрелка Елагина острова', 'natural': 'cliff'}",,,,,Западная стрелка Елагина острова,,,,,,,,,,,,,,,,,cliff,,,,,,,,,,,,,,
node/1157609917,30.2682283,59.9759446,{'waterway': 'lock_gate'},,,,,,,,,,,,,,,,,,,,,,,lock_gate,,,,,,,,,,,,,
node/1157615795,30.2521095,59.9783207,"{'artwork_type': 'statue', 'name': 'Геракл', 'tourism': 'artwork', 'name:en': 'Heracles', 'historic': 'yes'}",,,statue,,Геракл,artwork,,Heracles,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,
node/1157617458,30.2713019,59.9812899,{'waterway': 'lock_gate'},,,,,,,,,,,,,,,,,,,,,,,lock_gate,,,,,,,,,,,,,
node/1231935205,30.257682,59.9765492,"{'tourism': 'information', 'information': 'map', 'map_size': 'site'}",,,,,,information,,,,,,,,,,,,,,map,site,,,,,,,,,,,,,,,
node/1269584659,30.2366093,59.9799169,"{'name': 'Лев', 'tourism': 'artwork', 'name:en': 'Lions', 'historic': 'yes', 'name:ru': 'Львы'}",,,,,Лев,artwork,,Lions,,yes,,,,,,,,,,,,,,Львы,,,,,,,,,,,,
node/1269584661,30.2364728,59.9801744,"{'name': 'Лев', 'tourism': 'artwork', 'historic': 'yes'}",,,,,Лев,artwork,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,
node/1855117494,30.2511295,59.9806969,"{'amenity': 'toilets', 'emergency': 'yes', 'fee': 'yes', 'wheelchair': 'no'}",,,,,,,toilets,,,,,,,,,,,,,,,,,,yes,yes,no,,,,,,,,,
node/2022962538,30.2653285,59.9800256,"{'name': 'На Елагином', 'amenity': 'cafe', 'cuisine': 'italian'}",,,,,На Елагином,,cafe,,,,,,,,,,,,,,,,,,,,,italian,,,,,,,,
node/2023035096,30.2635283,59.98034,"{'name': 'Медпункт', 'amenity': 'doctors', 'emergency': 'yes', 'healthcare': 'doctor'}",,,,,Медпункт,,doctors,,,,,,,,,,,,,,,,,,yes,,,,doctor,,,,,,,
node/3761709934,30.2533101,59.9771159,"{'access': 'customers', 'amenity': 'toilets'}",customers,,,,,,toilets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/3761709955,30.2531549,59.9769476,"{'name': 'Летнее кафе', 'amenity': 'cafe'}",,,,,Летнее кафе,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/3761712757,30.2542292,59.9818036,"{'name': 'Летнее кафе', 'amenity': 'cafe'}",,,,,Летнее кафе,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/4353795089,30.2537773,59.9792343,"{'name': 'Первая чебуречная', 'amenity': 'fast_food'}",,,,,Первая чебуречная,,fast_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/4353822789,30.258033,59.9764807,"{'name': 'С.\xa0М.\xa0Киров', 'historic': 'memorial', 'subject:wikidata': 'Q207682', 'memorial': 'bust', 'memorial:subject': 'Сергей Миронович Киров', 'subject:wikipedia': 'ru:Киров, Сергей Миронович'}",,,,,С. М. Киров,,,,,memorial,,,,,,,Q207682,,,,,,,,,,,,,bust,Сергей Миронович Киров,"ru:Киров, Сергей Миронович",,,,
node/5682734721,30.2636538,59.980817,"{'amenity': 'bicycle_parking', 'bicycle_parking': 'wall_loops', 'covered': 'no'}",,,,,,,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,,wall_loops,no,,
node/6067907985,30.2452734,59.9802147,{'leisure': 'playground'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,playground,
node/6601185213,30.2439462,59.9802949,"{'amenity': 'bicycle_parking', 'fee': 'no', 'bicycle_parking': 'stands', 'covered': 'no', 'capacity': 5.0}",,,,,,,bicycle_parking,,,,,,,,,,,,,,,,,,,no,,,,,,,stands,no,,5.0
node/6784849750,30.2646782,59.9770329,{'shop': 'ticket'},,,,,,,,,,,,,,,,,,,ticket,,,,,,,,,,,,,,,,,
node/6832816785,30.2521444,59.9771159,{'tourism': 'attraction'},,,,,,attraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/6896052609,30.2605569,59.9776086,{'barrier': 'entrance'},,entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/7682728386,30.2644629,59.9803075,"{'amenity': 'toilets', 'fee': 'yes'}",,,,,,,toilets,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
node/7682894686,30.254658,59.9775445,"{'amenity': 'toilets', 'fee': 'yes'}",,,,,,,toilets,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
node/7815174685,30.2438271,59.9797322,"{'amenity': 'toilets', 'fee': 'yes'}",,,,,,,toilets,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
